Last Update,Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered,input_file,Active
2020-02-26 18:53:02,2.0,Sweden,0.0,2020-02-26 18:53:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,2.0
2020-02-09 19:03:03,2.0,United States of America,0.0,2020-02-09 19:03:03,,,"Chicago, IL",2.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-03 03:53:02,2.0,United States of America,0.0,2020-02-03 03:53:02,,,"San Benito, CA",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,2.0
2020-02-21 05:43:02,2.0,United States of America,0.0,2020-02-21 05:43:02,,,"San Diego County, CA",1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-21 05:23:04,2.0,United States of America,0.0,2020-02-21 05:23:04,,,"Santa Clara, CA",1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-24 23:33:02,1.0,Afghanistan,0.0,2020-02-24 23:33:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-25 23:43:03,1.0,Algeria,0.0,2020-02-25 23:43:03,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-17 04:23:06,1.0,Belgium,0.0,2020-02-17 04:23:06,,,,1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-26 23:53:02,1.0,Brazil,0.0,2020-02-26 23:53:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-12 07:43:02,1.0,Cambodia,0.0,2020-02-12 07:43:02,,,,1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-12 18:53:03,1.0,Canada,0.0,2020-02-12 18:53:03,,,"London, ON",1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-21 18:53:02,1.0,Egypt,0.0,2020-02-21 18:53:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-26 19:03:08,1.0,Georgia,0.0,2020-02-26 19:03:08,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-26 15:53:05,1.0,Greece,0.0,2020-02-26 15:53:05,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-12 06:43:02,1.0,China,0.0,2020-02-12 06:43:02,,,Tibet,1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-12 14:43:03,1.0,Nepal,0.0,2020-02-12 14:43:03,,,,1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-26 19:03:08,1.0,North Macedonia,0.0,2020-02-26 19:03:08,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-26 20:23:12,1.0,Norway,0.0,2020-02-26 20:23:12,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-26 23:43:03,1.0,Romania,0.0,2020-02-26 23:43:03,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-08 03:43:03,1.0,Sri Lanka,0.0,2020-02-08 03:43:03,,,,1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-25 19:13:21,1.0,Switzerland,0.0,2020-02-25 19:13:21,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-01 19:43:03,1.0,United States of America,0.0,2020-02-01 19:43:03,,,"Boston, MA",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-21 05:13:09,1.0,United States of America,0.0,2020-02-21 05:13:09,,,"Humboldt County, CA",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-01 19:53:03,1.0,United States of America,0.0,2020-02-01 19:53:03,,,"Los Angeles, CA",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-05 21:53:02,1.0,United States of America,0.0,2020-02-05 21:53:02,,,"Madison, WI",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-01 19:53:03,1.0,United States of America,0.0,2020-02-01 19:53:03,,,"Orange, CA",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-21 23:13:16,1.0,United States of America,0.0,2020-02-21 23:13:16,,,"Sacramento County, CA",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-13 18:53:02,1.0,United States of America,0.0,2020-02-13 18:53:02,,,"San Antonio, TX",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-09 07:03:04,1.0,United States of America,0.0,2020-02-09 07:03:04,,,"Seattle, WA",1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-25 21:23:03,1.0,United States of America,0.0,2020-02-25 21:23:03,,,"Tempe, AZ",1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-24 23:33:02,0.0,United States of America,0.0,2020-02-24 23:33:02,,,"Lackland, TX (From Diamond Princess)",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-24 23:33:02,0.0,United States of America,0.0,2020-02-24 23:33:02,,,"Omaha, NE (From Diamond Princess)",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-24 23:33:02,0.0,United States of America,0.0,2020-02-24 23:33:02,,,"Travis, CA (From Diamond Princess)",0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-27 12:13:14,65596.0,China,2641.0,2020-02-27 12:13:14,,,Hubei,23383.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,42213.0
2020-02-27 12:03:04,1766.0,South Korea,13.0,2020-02-27 12:03:04,,,,22.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,1744.0
2020-02-27 09:53:02,1347.0,China,7.0,2020-02-27 09:53:02,,,Guangdong,890.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,457.0
2020-02-27 15:03:11,1272.0,China,20.0,2020-02-27 15:03:11,,,Henan,1068.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,204.0
2020-02-27 12:43:02,1205.0,China,1.0,2020-02-27 12:43:02,,,Zhejiang,932.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,273.0
2020-02-27 12:43:02,1017.0,China,4.0,2020-02-27 12:43:02,,,Hunan,804.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,213.0
2020-02-27 14:13:06,989.0,China,6.0,2020-02-27 14:13:06,,,Anhui,792.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,197.0
2020-02-27 01:43:02,934.0,China,1.0,2020-02-27 01:43:02,,,Jiangxi,754.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,180.0
2020-02-27 14:13:06,756.0,China,6.0,2020-02-27 14:13:06,,,Shandong,387.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-27-2020.csv,369.0
